50
PARIS,114,21,129,24
LONDRES,106,19,127,22
ROMA,124,26,136,29
TOKIO,211,31,226,34
BUENOS AIRES,50,84,86,87
NUEVA YORK,45,27,75,30
OSLO,123,12,135,15
EL CAIRO,126,35,150,38
MADRID,107,27,125,30
BERLIN,119,18,137,21
MOSCU,139,15,154,18
BEIJING,189,27,210,30
SIDNEY,217,83,235,86
RIO DE JANEIRO,55,75,97,78
MEXICO DF,30,43,57,46
TORONTO,50,25,71,28
DELHI,167,36,182,39
MUMBAI,161,43,179,46
ESTAMBUL,124,27,148,30
ATENAS,126,29,144,32
AMSTERDAM,104,18,131,21
BRUSELAS,107,19,131,22
LISBOA,103,28,121,31
VIENA,124,21,139,24
PRAGA,123,20,138,23
BUDAPEST,117,22,141,25
ESTOCOLMO,113,13,140,16
COPENHAGUE,106,15,136,18
HELSINKI,121,12,145,15
REYKJAVIK,85,9,112,12
DUBLIN,105,17,123,20
EDIMBURGO,98,15,125,18
ZURICH,116,22,134,25
LA CORUNA,95,25,122,28
MARRAKESH,95,34,122,37
NAIROBI,133,59,154,62
CIUDAD DEL CABO,96,83,141,86
LAGOS,115,53,130,56
DAKAR,100,46,115,49
DUBAI,152,38,167,41
DOHA,152,38,164,41
BANGKOK,178,47,199,50
SINGAPUR,177,57,201,60
HONG KONG,181,41,208,44
SEUL,205,29,217,32
HANOI,187,42,202,45
YAKARTA,182,62,203,65
AUCKLAND,208,85,251,88
LIMA,61,67,73,70
SANTIAGO,53,83,77,86
