index,city,wikidata,source_title,label,commons_file,license,author,page
001,PARIS,Q243,Eiffel Tower,,Tour Eiffel Wikimedia Commons.jpg,Public domain,Benh LIEU SONG,https://commons.wikimedia.org/wiki/File:Tour_Eiffel_Wikimedia_Commons.jpg
002,LONDRES,Q41225,Big Ben,,"Clock Tower - Palace of Westminster, London - May 2007.jpg",CC BY 2.5,Diliff,"https://commons.wikimedia.org/wiki/File:Clock_Tower_-_Palace_of_Westminster,_London_-_May_2007.jpg"
003,ROMA,Q10285,Colosseum,Colosseum,Colosseo 2020.jpg,CC BY-SA 4.0,FeaturedPics,https://commons.wikimedia.org/wiki/File:Colosseo_2020.jpg
004,TOKIO,Q39231,Mount Fuji,Mount Fuji,Kodaki fuji frm shojinko refurb.jpg,CC BY-SA 3.0,"名古屋太郎, (edited by Hannes_24)",https://commons.wikimedia.org/wiki/File:Kodaki_fuji_frm_shojinko_refurb.jpg
005,BUENOS AIRES,Q831389,Obelisco de Buenos Aires,Obelisco de Buenos Aires,ObeliscoBA2015.jpg,CC BY-SA 4.0,Sebastianalmaraz,https://commons.wikimedia.org/wiki/File:ObeliscoBA2015.jpg
006,NUEVA YORK,Q9202,Statue of Liberty,Statue of Liberty,"Statue of Liberty and a sightseeing boat, Liberty Island, New York.jpg",CC BY-SA 4.0,Christian David,"https://commons.wikimedia.org/wiki/File:Statue_of_Liberty_and_a_sightseeing_boat,_Liberty_Island,_New_York.jpg"
007,OSLO,Q667456,Oslofjord,Oslofjord,Oslojord from Ekeberg.jpg,CC BY-SA 2.5,Leifern,https://commons.wikimedia.org/wiki/File:Oslojord_from_Ekeberg.jpg
008,EL CAIRO,Q37200,Great Pyramid of Giza,Great Pyramid of Giza,Kheops-Pyramid.jpg,CC BY 2.5,Nina,https://commons.wikimedia.org/wiki/File:Kheops-Pyramid.jpg
009,MADRID,Q160112,Museo del Prado,Museo del Prado,Museo del Prado 2016 (25185969599).jpg,CC BY-SA 2.0,Emilio J. Rodríguez Posada,https://commons.wikimedia.org/wiki/File:Museo_del_Prado_2016_(25185969599).jpg
010,BERLIN,Q82425,Brandenburg Gate,Brandenburg Gate,Brandenburger Tor morgens.jpg,CC BY-SA 3.0,"Thomas Wolf, www.foto-tw.de",https://commons.wikimedia.org/wiki/File:Brandenburger_Tor_morgens.jpg
011,MOSCU,Q133274,Kremlin,Kremlin,Moscow 05-2012 Kremlin 22.jpg,CC BY-SA 3.0,A.Savin,https://commons.wikimedia.org/wiki/File:Moscow_05-2012_Kremlin_22.jpg
012,BEIJING,Q80290,Forbidden City,Forbidden City,Hall of Supreme Harmony (20241127120000).jpg,CC BY-SA 4.0,N509FZ,https://commons.wikimedia.org/wiki/File:Hall_of_Supreme_Harmony_(20241127120000).jpg
013,SIDNEY,Q45178,Sydney Opera House,Sydney Opera House,00 1375 Sydney Opera House (Australia).jpg,CC BY-SA 4.0,W. Bulach,https://commons.wikimedia.org/wiki/File:00_1375_Sydney_Opera_House_(Australia).jpg
014,RIO DE JANEIRO,Q79961,Christ the Redeemer (statue),Christ the Redeemer,Christ the Redeemer - Cristo Redentor.jpg,CC BY-SA 3.0 de,Arne Müseler,https://commons.wikimedia.org/wiki/File:Christ_the_Redeemer_-_Cristo_Redentor.jpg
015,MEXICO DF,Q928541,Angel of Independence,Angel of Independence,Angel de la independencia170409.jpg,CC BY-SA 4.0,Carlos Valenzuela,https://commons.wikimedia.org/wiki/File:Angel_de_la_independencia170409.jpg
016,TORONTO,Q134883,CN Tower,CN Tower,"CN Tower from Puente de Luz, Toronto, Ontario, 2025-08-25 01.jpg",CC BY-SA 4.0,Chris Woodrich,"https://commons.wikimedia.org/wiki/File:CN_Tower_from_Puente_de_Luz,_Toronto,_Ontario,_2025-08-25_01.jpg"
017,DELHI,Q45957,Red Fort,Red Fort,"Red Fort, Delhi by alexfurr.jpg",Attribution,Alex Furr,"https://commons.wikimedia.org/wiki/File:Red_Fort,_Delhi_by_alexfurr.jpg"
018,MUMBAI,Q864862,Gateway of India,Gateway of India,Mumbai 03-2016 30 Gateway of India.jpg,FAL,A.Savin,https://commons.wikimedia.org/wiki/File:Mumbai_03-2016_30_Gateway_of_India.jpg
019,ESTAMBUL,Q12506,Hagia Sophia,Hagia Sophia,Hagia Sophia Mars 2013.jpg,CC BY-SA 3.0,Arild Vågen,https://commons.wikimedia.org/wiki/File:Hagia_Sophia_Mars_2013.jpg
020,ATENAS,Q10288,Parthenon,Parthenon,The Parthenon in Athens.jpg,CC BY 2.0,Steve Swayne,https://commons.wikimedia.org/wiki/File:The_Parthenon_in_Athens.jpg
021,AMSTERDAM,Q340013,Canals of Amsterdam,canals of Amsterdam,Amsterdam Aerial.jpg,CC BY-SA 3.0,Swimmerguy269,https://commons.wikimedia.org/wiki/File:Amsterdam_Aerial.jpg
022,BRUSELAS,Q180901,Atomium,Atomium,Laeken Atomium 06.jpg,CC BY-SA 4.0,Zairon,https://commons.wikimedia.org/wiki/File:Laeken_Atomium_06.jpg
023,LISBOA,Q215003,Belém Tower,Belém Tower,Belem Tower - April 2019 (2).jpg,CC BY-SA 4.0,Rehman Abubakr,https://commons.wikimedia.org/wiki/File:Belem_Tower_-_April_2019_(2).jpg
024,VIENA,Q209937,Vienna State Opera,Vienna State Opera house,Staatsoper Wien DSC 5273w.jpg,CC BY-SA 3.0 at,P e z i,https://commons.wikimedia.org/wiki/File:Staatsoper_Wien_DSC_5273w.jpg
025,PRAGA,Q204871,Charles Bridge,Charles Bridge,Prague 07-2016 View from Petrinska Tower img2.jpg,FAL,A.Savin,https://commons.wikimedia.org/wiki/File:Prague_07-2016_View_from_Petrinska_Tower_img2.jpg
